funder,recipient,amount,date,source_url,notes
John Pfeffer,MIT DCI,NA,2018/01,http://web.archive.org/web/20221126163019/https://polylunar.com/bitcoin-grants-tracker/,
BitMEX,MIT DCI,"250,000 USD",2019/05,https://blog.bitmex.com/donation/,
BitMEX,Michael Ford,"50,000 USD",2019/07,https://blog.bitmex.com/2019-ford-bitcoin-grant/,
DG Lab,BTCPay Server,"30,000 USD",2019/11,https://blog.btcpayserver.org/dg-grant-2019/,
BitMEX,MIT DCI,"250,000 USD",2020/03,https://blog.bitmex.com/continued-support-of-bitcoin-development-hdr-provides-a-2nd-gift-to-the-mit-dci/,
CardCoins,Hennadii Stepanov,NA,2020/03,https://blog.cardcoins.co/cardcoins-and-bitcoin-core,
BitMEX,Michael Ford,"100,000 USD",2020/05,https://blog.bitmex.com/hdr-global-trading-increases-bitcoin-developer-grant-to-us100000/
OKCoin,BTCPay Server,"100,000 USD",2020/05,http://web.archive.org/web/20200617021202/https://blog.okcoin.com/2020/05/28/btcpay-developer-grant-recipient/,
BitMEX,Gleb Naumenko,"100,000 USD",2020/06,https://blog.bitmex.com/bitcoin-developer-grant-provided-to-gleb-naumenko/,
BitMEX,Amiti Uttarwar,"75,000 USD",2020/06,https://blog.bitmex.com/hdr-okcoin-join-forces-to-provide-a-us150000-grant-to-bitcoin-c%c6%92ore-developer-amiti-uttarwar/,
OKCoin,Amiti Uttarwar,"75,000 USD",2020/06,http://web.archive.org/web/20200618175305/https://blog.okcoin.com/2020/06/18/okcoin-bitmex-provide-grant-to-bitcoin-core-developer-amiti-uttarwar/,
Kraken,BTCPay Server,"150,000 USD",2020/06,https://bitcoinmagazine.com/business/kraken-announces-largest-ever-grant-to-btcpay,
OKCoin,Marco Falke,"100,000 USD",2020/08,http://web.archive.org/web/20210115195319/https://blog.okcoin.com/2020/08/06/introducing-marco-falke-okcoins-fourth-developer-grant-recipient/,
BitMEX,Calvin Kim,"40,000 USD",2020/08,https://blog.bitmex.com/bitcoin-developer-grant-provided-to-calvin-kim/,
BitMEX,Jeremy Rubin,"50,000 USD",2020/07,https://blog.bitmex.com/bitcoin-developer-grant-provided-to-jeremy-rubin/,
BTSE,BTCPay Server,"80,000 USD",2020/10,https://blog.btcpayserver.org/btcpay-server-btse/,
OKCoin,Fabian Jahr,NA,2020/10,http://web.archive.org/web/20230323203907/https://blog.okcoin.com/fabian-jahr-receives-independent-developer-grant/,
John Pfeffer,Brink,NA,2020/11,https://brink.dev/blog/2020/11/24/on-the-brink/,founding donor
Wences Casares,Brink,NA,2020/11,https://brink.dev/blog/2020/11/24/on-the-brink/,founding donor
Kraken,Brink,"150,000 USD",2020/11,https://blog.kraken.com/post/6920/kraken-grants-150000-to-new-bitcoin-developer-center-brink,
Spiral,Brink,"100,000 USD",2020/11,https://twitter.com/bitcoinbrink/status/1331212510679150594,
Superlunar,Brink,"150,000 USD",2020/12,http://web.archive.org/web/20221122065633/https://www.gemini.com/blog/gemini-opportunity-fund-launches-to-support-bitcoin-core-developers,
Superlunar,HRF,"50,000 USD",2020/12,http://web.archive.org/web/20221122065633/https://www.gemini.com/blog/gemini-opportunity-fund-launches-to-support-bitcoin-core-developers,
Coinbase,0xB10C,NA,2020/12,https://x.com/coinbase/status/1341549152090673153,through their Community Fund
Coinbase,João Barbosa,NA,2020/12,https://x.com/coinbase/status/1341549152090673153,through their Crypto Community Fund
Jack Dorsey & Jay-Z,BTrust,"500 BTC",2021/02,https://x.com/jack/status/1360114881978982403
Jack Dorsey,Brink,1 BTC,2021/02,https://x.com/bitcoinbrink/status/1364250436669161474,
BitMEX,Michael Ford,"100,000 USD",2021/02,https://blog.bitmex.com/100x-group-provides-third-grant-to-bitcoin-maintainer-michael-ford/,
Independent Reserve,Michael Ford,"18,500 USD",2021/02,https://www.independentreserve.com/blog/news/independent-reserve-to-sponsor-bitcoin-core-development
CoinShares,MIT DCI,"500,000 USD",2021/02,http://web.archive.org/web/20210625124550/https://coinshares.com/news/coinshares-contributes-to-mit-digital-currency-initiative-to-fund-independent-research-and-open-source-development/,over 4 years
BtcTurk,Brink,"210,000 USD",2021/03,https://btcturk.medium.com/how-much-bitcoin-is-satoshi-nakamoto-holding-9270af64725f,
OKCoin,Antoine Riard,NA,2021/03,http://web.archive.org/web/20210304173240/https://blog.okcoin.com/2021/03/04/okcoin-bitcoin-developer-grant-antoine-riard/,
Peter McCormack,Brink,"10.000 USD",2021/05,https://x.com/PeterMcCormack/status/1366727874670194695
BitMEX,Calvin Kim,"100,000 USD",2021/05,https://blog.bitmex.com/renewal-of-calvin-kims-bitcoin-developer-grant/,
